category,activity,task_name,task_class,description,steps,default_instruction,base_class,source_file
adding_ice_to_beverages,Adding Ice to Beverages,Prepare Ice Lemonade,MakeIceLemonade,Simulates grabbing a lemon wedge from the fridge and one ice cube from an ice bowl and placing one cube in a glass cup.,1. Pick up a lemon wedge from the fridge and place it in the glass cup. 2. Pick up an ice cube from the ice bowl and place it in the glass cup.,,Kitchen,composite/adding_ice_to_beverages/make_ice_lemonade.py
adding_ice_to_beverages,Adding Ice to Beverages,Place Equal Ice Cubes,PlaceEqualIceCubes,"Simulates placing 4 ice cubes into 2 glass cups, with 2 ice cubes in each cup.",1. Pick up an ice cube from the bowl. 2. Place it in one of the glass cups. 3. Repeat until each glass cup has 2 ice cubes.,,Kitchen,composite/adding_ice_to_beverages/place_equal_ice_cubes.py
adding_ice_to_beverages,Adding Ice to Beverages,Place Ice in Cup,PlaceIceInCup,Simulates placing 2 ice cubes into 1 glass cup.,1. Pick up an ice cube from the bowl. 2. Place it in the glass cup. 3. Repeat for the second ice cube.,,Kitchen,composite/adding_ice_to_beverages/place_ice_in_cup.py
adding_ice_to_beverages,Adding Ice to Beverages,Retrieve Ice Tray,RetrieveIceTray,"Simulates retrieving the ice cube tray from the freezer and placing it on the dining counter, where there is a glass cup.","1. Open the freezer (fridge compartment). 2. Pick up the ice cube tray from the freezer. 3. Place it on the dining counter, where there is a glass cup.",,Kitchen,composite/adding_ice_to_beverages/retrieve_ice_tray.py
arranging_buffet,Arranging Buffet,Arrange Buffet Dessert,ArrangeBuffetDessert,Simulates taking sweets from the fridge and placing them on plates on the dining counter.,,,Kitchen,composite/arranging_buffet/arrange_buffet_dessert.py
arranging_buffet,Arranging Buffet,Cut Buffet Pizza,CutBuffetPizza,Simulates taking a pizza cutter from a drawer and placing it on the dining counter where pizza is already present for cutting.,,,ManipulateDrawer,composite/arranging_buffet/cut_buffet_pizza.py
arranging_buffet,Arranging Buffet,Divide Buffet Trays,DivideBuffetTrays,Simulates gathering vegetables and meat items from the fridge and placing them on separate trays on the dining counter for buffet organization.,,,Kitchen,composite/arranging_buffet/divide_buffet_trays.py
arranging_buffet,Arranging Buffet,Place Beverages Together,PlaceBeveragesTogether,Simulates placing 3 types of drinks in a cluster on the dining counter.,,Place the drinks on the dining counter in a tight cluster.,Kitchen,composite/arranging_buffet/place_beverages_together.py
arranging_buffet,Arranging Buffet,Tong Buffet Setup,TongBuffetSetup,Simulates taking tongs from the drawer and placing it next to a tray on the dining counter.,,,ManipulateDrawer,composite/arranging_buffet/tong_buffet_setup.py
arranging_cabinets,Arranging Cabinets,Gather Glasses,GatherTableware,Simulates the task of sorting glasses and bowls in the cabinets.,Gather all objects into one cabinet and sort the mugs and bowl to opposite sides.,Gather all objects into one cabinet and sort the glasses and bowls to opposite sides.,Kitchen,composite/arranging_cabinets/gather_tableware.py
arranging_cabinets,Arranging Cabinets,ResetCabinetDoors,ResetCabinetDoors,Simulates the task of resetting cabinets doors.,Close all open cabinet doors,Close all open cabinet doors.,Kitchen,composite/arranging_cabinets/reset_cabinet_doors.py
arranging_cabinets,Restocking Supplies,Stack Cans,StackCans,Simulates the task of organizing cans in a cabinet.,Stack 2 cans on top of the other 2 cans in the cabinet.,Stack two cans on top of the other two cans in the cabinet.,Kitchen,composite/arranging_cabinets/stack_cans.py
