family,suite,gym_id,task_class,task_name,language_instruction,instruction_is_templated,description,source_file
LIBERO,libero_10,Robocasa-Task-L10K3TurnOnTheStoveAndPutTheMokaPotOnIt,L10K3TurnOnTheStoveAndPutTheMokaPotOnIt,L10K3TurnOnTheStoveAndPutTheMokaPotOnIt,Turn on the stove and put the moka pot on it.,no,,lightwheel_libero_tasks/libero_10/L10K3_turn_on_the_stove_and_put_the_moka_pot_on_it.py
LIBERO,libero_10,Robocasa-Task-L10K4PutTheBlackBowlInTheBottomDrawerOfTheCabinetAndCloseIt,L10K4PutTheBlackBowlInTheBottomDrawerOfTheCabinetAndCloseIt,L10K4PutTheBlackBowlInTheBottomDrawerOfTheCabinetAndCloseIt,Put the black bowl in the bottom drawer of the cabinet and close it.,no,,lightwheel_libero_tasks/libero_10/L10K4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it.py
LIBERO,libero_10,Robocasa-Task-L10K6PutTheYellowAndWhiteMugInTheMicrowaveAndCloseIt,L10K6PutTheYellowAndWhiteMugInTheMicrowaveAndCloseIt,L10K6PutTheYellowAndWhiteMugInTheMicrowaveAndCloseIt,Put the yellow and white mug in the microwave and close it.,no,,lightwheel_libero_tasks/libero_10/L10K6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate.py
LIBERO,libero_10,Robocasa-Task-L10K8PutBothMokaPotsOnTheStove,L10K8PutBothMokaPotsOnTheStove,L10K8PutBothMokaPotsOnTheStove,Put both moka pots on the stove.,no,,lightwheel_libero_tasks/libero_10/L10K8_put_both_moka_pots_on_the_stove.py
LIBERO,libero_10,Robocasa-Task-L10L1PutBothTheAlphabetSoupAndTheCreamCheeseBoxInTheBasket,L10L1PutBothTheAlphabetSoupAndTheCreamCheeseBoxInTheBasket,L10L1PutBothTheAlphabetSoupAndTheCreamCheeseBoxInTheBasket,"Pick up the alphabet soup and the cream cheese box, and put them in the basket.",no,L10L1PutBothTheAlphabetSoupAndTheCreamCheeseBoxInTheBasket: put both the alphabet soup and the cream cheese box in the basket,lightwheel_libero_tasks/libero_10/L10L2_put_objects_in_basket.py
LIBERO,libero_10,Robocasa-Task-L10L2PutBothTheAlphabetSoupAndTheTomatoSauceInTheBasket,L10L2PutBothTheAlphabetSoupAndTheTomatoSauceInTheBasket,L10L2PutBothTheAlphabetSoupAndTheTomatoSauceInTheBasket,"Pick up the alphabet soup and the tomato sauce, and put them in the basket.",no,L10L2PutBothTheAlphabetSoupAndTheTomatoSauceInTheBasket: put both the alphabet soup and the tomato sauce in the basket,lightwheel_libero_tasks/libero_10/L10L2_put_objects_in_basket.py
LIBERO,libero_10,Robocasa-Task-L10L2PutBothTheCreamCheeseBoxAndTheButterInTheBasket,L10L2PutBothTheCreamCheeseBoxAndTheButterInTheBasket,L10L2PutBothTheCreamCheeseBoxAndTheButterInTheBasket,"Pick up the cream cheese box and the butter, and put them in the basket.",no,L10L2PutBothTheCreamCheeseBoxAndTheButterInTheBasket: put both the cream cheese box and the butter in the basket,lightwheel_libero_tasks/libero_10/L10L2_put_objects_in_basket.py
LIBERO,libero_10,Robocasa-Task-L10L5PutWhiteMugOnLeftPlateAndPutYellowAndWhiteMugOnRightPlate,L10L5PutWhiteMugOnLeftPlateAndPutYellowAndWhiteMugOnRightPlate,L10L5PutWhiteMugOnLeftPlateAndPutYellowAndWhiteMugOnRightPlate,Put the white mug on the left plate and put the yellow and white mug on the right plate.,no,,lightwheel_libero_tasks/libero_10/L10L5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate.py
LIBERO,libero_10,Robocasa-Task-L10L6PutWhiteMugOnPlateAndPutChocolatePuddingToRightPlate,L10L6PutWhiteMugOnPlateAndPutChocolatePuddingToRightPlate,L10L6PutWhiteMugOnPlateAndPutChocolatePuddingToRightPlate,"Pick up the white mug and put it on the plate, and put the chocolate pudding to the right of the plate.",no,L10L6PutWhiteMugOnPlateAndPutChocolatePuddingToRightPlate: put the white mug on the plate and put the chocolate pudding to the right of the plate,lightwheel_libero_tasks/libero_10/L10L6_MugOnAndChocolateRightPlate.py
LIBERO,libero_10,Robocasa-Task-L10S1PickUpTheBookAndPlaceItInTheBackCompartmentOfTheCaddy,L10S1PickUpTheBookAndPlaceItInTheBackCompartmentOfTheCaddy,L10S1PickUpTheBookAndPlaceItInTheBackCompartmentOfTheCaddy,Pick up the book and place it in the right compartment of the caddy.,no,,lightwheel_libero_tasks/libero_10/L10S1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.py
LIBERO,libero_90,Robocasa-Task-L90K10CloseTheTopDrawerOfTheCabinet,L90K10CloseTheTopDrawerOfTheCabinet,L90K10CloseTheTopDrawerOfTheCabinet,Close the top drawer of the cabinet.,no,L90K10CloseTheTopDrawerOfTheCabinet: close the top drawer of the cabinet (Scene10),lightwheel_libero_tasks/libero_90/L90K10_close_the_top_drawer_of_the_cabinet.py
LIBERO,libero_90,Robocasa-Task-L90K10CloseTheTopDrawerOfTheCabinetAndPutTheBlackBowlOnTopOfIt,L90K10CloseTheTopDrawerOfTheCabinetAndPutTheBlackBowlOnTopOfIt,L90K10CloseTheTopDrawerOfTheCabinetAndPutTheBlackBowlOnTopOfIt,Close the top drawer of the cabinet and put the black bowl on top of it.,no,L90K10CloseTheTopDrawerOfTheCabinetAndPutTheBlackBowlOnTopOfIt: close the top drawer of the cabinet and put the black bowl on top of it,lightwheel_libero_tasks/libero_90/L90K10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it.py
LIBERO,libero_90,Robocasa-Task-L90K10PutTheBlackBowlInTheTopDrawerOfTheCabinet,L90K10PutTheBlackBowlInTheTopDrawerOfTheCabinet,L90K10PutTheBlackBowlInTheTopDrawerOfTheCabinet,Put the black bowl in the top drawer of the cabinet.,no,L90K10PutTheBlackBowlInTheTopDrawerOfTheCabinet: put the black bowl in the top drawer of the cabinet (Scene10),lightwheel_libero_tasks/libero_90/L90K10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet.py
