task_id,task_name,activity_key,language_instruction,rooms,duration_sec,video,challenge_page,knowledgebase
0,Turning On Radio,turning_on_radio,Turn on the radio receiver that’s on the table in the living room.,living room,72,https://player.vimeo.com/video/1109198872,https://behavior.stanford.edu/challenge/tasks/00_turning_on_radio.html,https://behavior.stanford.edu/knowledgebase/tasks/turning_on_radio-0.html
1,Picking Up Trash,picking_up_trash,Put the three can of soda from the living room inside the tash can in the kitchen.,"kitchen, living room",176,https://player.vimeo.com/video/1109202972,https://behavior.stanford.edu/challenge/tasks/01_picking_up_trash.html,https://behavior.stanford.edu/knowledgebase/tasks/picking_up_trash-0.html
2,Putting Away Halloween Decorations,putting_away_Halloween_decorations,"Place each of the two pumpkins and all three candles from the living room inside a cabinet in the living room (use any cabinet), then make sure every cabinet is closed, and position the cauldron so it is next to a table in the living room.",living room,460,https://player.vimeo.com/video/1114054409,https://behavior.stanford.edu/challenge/tasks/02_putting_away_Halloween_decorations.html,https://behavior.stanford.edu/knowledgebase/tasks/putting_away_Halloween_decorations-0.html
3,Cleaning Up Plates and Food,cleaning_up_plates_and_food,"From the breakfast table in the kitchen, move both pizzas - keeping each on its plate - into the same refrigerator, put both bowls into one sink, and make sure the refrigerator is closed.",kitchen,457,https://player.vimeo.com/video/1114054554,https://behavior.stanford.edu/challenge/tasks/03_cleaning_up_plates_and_food.html,https://behavior.stanford.edu/knowledgebase/tasks/cleaning_up_plates_and_food-0.html
4,Can Meat,can_meat,"Open the kitchen cabinet, take out the two hinged jars, open them, place exactly two cooked bratwursts from the chopping board on the countertop into each jar, then close both jars, put them back inside the cabinet, and close the cabinet.",kitchen,395,https://player.vimeo.com/video/1114054618,https://behavior.stanford.edu/challenge/tasks/04_can_meat.html,https://behavior.stanford.edu/knowledgebase/tasks/can_meat-0.html
5,Setting Mousetraps,setting_mousetraps,"Take the four mousetraps from the cabinet in the bathroom and place them on the bathroom floor. Make sure all four end up on the same floor surface, and ensure that at least two of them are either under or directly next to the same bathroom sink.",bathroom,339,https://player.vimeo.com/video/1114054686,https://behavior.stanford.edu/challenge/tasks/05_setting_mousetraps.html,https://behavior.stanford.edu/knowledgebase/tasks/setting_mousetraps-0.html
6,Hiding Easter Eggs,hiding_Easter_eggs,"Take the three Easter eggs out of the wicker basket on the lawn in the garden, then place them on the lawn next to a single tree (choose any tree) so that all three eggs are next to the same tree and none are left in the basket.",garden,254,https://player.vimeo.com/video/1114055436,https://behavior.stanford.edu/challenge/tasks/06_hiding_Easter_eggs.html,https://behavior.stanford.edu/knowledgebase/tasks/hiding_Easter_eggs-0.html
7,Picking Up Toys,picking_up_toys,"Put all the toys in the child’s room - the three board games (two on the bed and one on the table), the two jigsaw puzzles on the table, and the tennis ball on the table - inside the toy box on the table in the child’s room.",childs room,630,https://player.vimeo.com/video/1114054920,https://behavior.stanford.edu/challenge/tasks/07_picking_up_toys.html,https://behavior.stanford.edu/knowledgebase/tasks/picking_up_toys-0.html
8,Rearranging Kitchen Furniture,rearranging_kitchen_furniture,"Move the toaster, food processor, and French press from the kitchen countertop into the same kitchen cabinet, and make sure that cabinet is closed at the end.",kitchen,298,https://player.vimeo.com/video/1114056046,https://behavior.stanford.edu/challenge/tasks/08_rearranging_kitchen_furniture.html,https://behavior.stanford.edu/knowledgebase/tasks/rearranging_kitchen_furniture-0.html
9,Putting Up Christmas Decorations Inside,putting_up_Christmas_decorations_inside,"In the living room, take the wreath, three candy canes, and two pillar candles out of the wicker basket. Place the wreath and two of the candy canes on the same living-room sofa. Put the remaining candy cane on top of a dining-room table. Put both pillar candles together on top of one dining-room table (they can share the same table). Finally, place all three gift boxes under or right next to the Christmas tree in the living room.","kitchen, living room",457,https://player.vimeo.com/video/1114056731,https://behavior.stanford.edu/challenge/tasks/09_putting_up_Christmas_decorations_inside.html,https://behavior.stanford.edu/knowledgebase/tasks/putting_up_Christmas_decorations_inside-0.html
10,Set Up A Coffee Station In Your Kitchen,set_up_a_coffee_station_in_your_kitchen,"Set up a coffee station on the kitchen countertop: keep the coffee maker on the countertop, move the bottle of coffee from the kitchen shelf to the counter next to the coffee maker, place a paper coffee filter on top of the coffee maker, put the saucer next to the coffee maker with the coffee cup on the saucer, and place the electric kettle next to the coffee maker.",kitchen,209,https://player.vimeo.com/video/1114056931,https://behavior.stanford.edu/challenge/tasks/10_set_up_a_coffee_station_in_your_kitchen.html,https://behavior.stanford.edu/knowledgebase/tasks/set_up_a_coffee_station_in_your_kitchen-0.html
11,Putting Dishes Away After Cleaning,putting_dishes_away_after_cleaning,"In the kitchen, gather all eight plates from the two countertops, place them all inside a single cabinet (either one), and make sure all cabinets are closed when you’re done.",kitchen,365,https://player.vimeo.com/video/1114057082,https://behavior.stanford.edu/challenge/tasks/11_putting_dishes_away_after_cleaning.html,https://behavior.stanford.edu/knowledgebase/tasks/putting_dishes_away_after_cleaning-0.html
12,Preparing Lunch Box,preparing_lunch_box,"Put both apple halves, the club sandwich, and the chocolate chip cookie from the chopping board on the kitchen countertop into the packing box on the countertop. Then take the bottle of tea out of the refrigerator, put it into the same box, and close the refrigerator when you’re done.",kitchen,275,https://player.vimeo.com/video/1114057330,https://behavior.stanford.edu/challenge/tasks/12_preparing_lunch_box.html,https://behavior.stanford.edu/knowledgebase/tasks/preparing_lunch_box-0.html
13,Loading The Car,loading_the_car,"Put the digital camera from the living room table into the container on the living room floor. Then take the container and the tennis racket to the garage, place both in the car trunk, and close it.","living room, garage",641,https://player.vimeo.com/video/1114057519,https://behavior.stanford.edu/challenge/tasks/13_loading_the_car.html,https://behavior.stanford.edu/knowledgebase/tasks/loading_the_car-0.html
14,Carrying in Groceries,carrying_in_groceries,"Take the sack of groceries out of the car trunk in the garage, bring it to the kitchen, and put both the tomato and the carton of milk into the refrigerator in the kitchen. When you’re done, close the car trunk and make sure the refrigerator in the kitchen is closed.","kitchen, garage",476,https://player.vimeo.com/video/1114057919,https://behavior.stanford.edu/challenge/tasks/14_carrying_in_groceries.html,https://behavior.stanford.edu/knowledgebase/tasks/carrying_in_groceries-0.html
15,Bringing in Wood,bringing_in_wood,Bring the three plywood sheets from the garden into the corridor and place them on the floor there.,"garden, corridor",451,https://player.vimeo.com/video/1114058068,https://behavior.stanford.edu/challenge/tasks/15_bringing_in_wood.html,https://behavior.stanford.edu/knowledgebase/tasks/bringing_in_wood-0.html
