task_class,task_family,bench_task,instruction_template,success_criterion,example_resolved_instructions
PickTask,pick,Pick,Pick up the {pickup_obj_name},Object lifted ≥ 1 cm from its start height.,Pick up the green glossy cup with spherical base | Pick up the cylindrical blue lighter with red button | Pick up the white bowl
PickAndPlaceTask,place,Pick-and-place,Pick up the {pickup_name} and place it in or on the {place_name},≥50% of object weight vertically supported by the receptacle; receptacle not displaced >10 cm or 45°.,Pick up the spray and place it in or on the bowl | Pick up the apple and place it in or on the plate
PickAndPlaceNextToTask,place,Pick-and-place-next-to,Pick up the {pickup_name} and place it next to the {place_name},Object within 5 cm surface-to-surface of the receptacle on the same support; receptacle not moved >5 cm or 45°.,Pick up the fork and place it next to the plate | Pick up the mug and place it next to the kettle
PickAndPlaceColorTask,place,Pick-and-place-color,Pick up the {pickup_name} and place it in or on the {color} {place_name},"Same as pick-and-place, but the correct receptacle is selected among multiple color-differentiated ones (color named in the prompt).",Pick up the block and place it in or on the red bowl | Pick up the sponge and place it in or on the blue tray
PackingTask,place,(pick-and-place variant),Pick up the {pickup_name} and place it into the {place_name},"Object placed INTO a container (containment, not just support).",Pick up the toy and place it into the box | Pick up the marker and place it into the cup
OpeningTask,articulate,Open / Close,Open the {pickup_obj_name},"Open: articulated fixture (drawer, cabinet, microwave, fridge) from fully-closed opened ≥15%. Close: from half-open closed to ≤15% open.",Open the oven | Open the drawer | Close the drawer | Open the microwave
DoorOpeningTask,door,Open-door,Push the door open,Hinged door opened ≥67% by manipulating its handle or surface.,Push the door open
DoorOpeningTask,door,Open-door,Pull the door open,Hinged door opened ≥67% by manipulating its handle or surface.,Pull the door open
NavToObjTask,navigate,Navigate-to,Navigate to the {object_name},Target initialized 4–20 m away; success = target visible from head camera AND within 1.5 m.,Navigate to the refrigerator | Navigate to the sofa
NavToObjTask,navigate,Navigate-to,Navigate to any {object_name} ({n} available),Multiple valid targets exist; reaching any one within 1.5 m and in view succeeds.,Navigate to any chair (4 available) | Navigate to any potted plant (3 available)
