task_class,file,scene_usda,difficulty,num_subtasks,episode_s,attributes,competency_axes,instr_default,instr_vague,instr_specific
AnimalsInBinTask,animals_in_bin.py,toys_cleanup.usda,simple,2,90,semantics,visual,Put the lizards in the bin,Put away the animals,Pick up the two identical green lizard figurines and place them into the bin
AppleAndYogurtInBowlTask,apple_and_yogurt_in_bowl_task.py,workdesk_snacks.usda,moderate,2,120,affordance,procedural,Put the apple and yogurt in the bowl,Put the food items in the bowl,Pick up the red apple and the small yogurt container and place both inside the bowl
BagelsOnPlateTask,bagel_on_plate_task.py,bagel_plate_banana_bowl.usda,simple,2,60,semantics,visual,Put the bagels on the plate,Plate some bagels,Pick up the two bagels from the table and place them onto the plate
BananaInBowlTask,banana_in_bowl_task.py,banana_bowl.usda,simple,1,50,semantics,visual,Pick up the banana and place it in the bowl,Put the fruit in the bowl,Grasp the yellow banana and place it inside the red bowl on the table
BananaOnPlateTask,banana_on_plate_task.py,bagel_plate_banana_bowl.usda,simple,1,40,,uncategorized,Pick up the banana and put it on the plate,Put fruit on the dish,Pick up the yellow banana and place it flat on the white ceramic plate
BananasInBinOneMoreTask,bananas_in_bin_one_more.py,bananas_5_grey_bin.usda,moderate,1,60,semantics;counting,relational;visual,Put one (1) more bananas in the grey bin.,Add a banana to the bin,Pick up one additional banana and place it in the grey bin alongside the ones already there
BananasInBinThreeTotalTask,bananas_in_bin_three.py,bananas_5_grey_bin.usda,moderate,1,60,semantics;counting,relational;visual,Make sure there are 3 (three) bananas in the grey bin.,3 bananas in the bin,"In addition to bananas in the bin, add one more banana to the grey bin until there are exactly three bananas inside"
BananasInCrateTask,bananas_in_crate.py,bananas_5_in_crate.usda,moderate,1,60,counting,relational,Put 2 bananas in the crate,Put 2 bananas in the container,Put 2 bananas in the purple crate. Make sure there are exactly 2 (two) bananas in the crate.
BananasOutOfBinTask,bananas_out_of_bin.py,bananas_5_grey_bin.usda,moderate,2,90,semantics;spatial,relational;visual,Take the bananas out,Empty the grey bin,Take all the bananas out of the grey bin and put it on the table.
BananaThenRubiksCubeTask,banana_then_rubiks_cube.py,rubiks_cube_banana_bowl.usda,simple,2,60,conjunction,relational,put the banana then the cube in the bowl,put banana then cube away,"First pick up the yellow banana and place it in the bowl, then pick up the rubiks cube and place it in the bowl after"
BBQSauceInBinTask,bbq_sauce_in_bin_task.py,bin_condiments.usda,simple,2,90,color;semantics,visual,Put the red BBQ sauce bottles in the grey bin,Put the bbq sauce bottles away,Pick up the two red BBQ sauce bottles from the table and place them into the grey bin
BigPumpkinInBinTask,clutter_big_pumpkin_task.py,clutter_fruit_bottle_bluebin.usda,simple,1,60,size,visual,Put the bigger pumpkin in the bin,Put the big pumpkin away,Identify the larger pumpkin of the two pumpkins on the table and place it in the bin
BlackItemsInBinTask,black_items_in_bin.py,workdesk_bin.usda,complex,5,120,color;sorting,visual,Put the black items in the grey bin,Clean up the dark items,Identify all black-colored objects on the table and place them into the grey bin
