suite,task_class,instruction
Long,L10K3TurnOnTheStoveAndPutTheMokaPotOnIt,Turn on the stove and put the moka pot on it.
Long,L10K4PutTheBlackBowlInTheBottomDrawerOfTheCabinetAndCloseIt,Put the black bowl in the bottom drawer of the cabinet and close it.
Long,L10K6PutTheYellowAndWhiteMugInTheMicrowaveAndCloseIt,Put the yellow and white mug in the microwave and close it.
Long,L10K8PutBothMokaPotsOnTheStove,Put both moka pots on the stove.
Long,L10L1PutBothTheAlphabetSoupAndTheCreamCheeseBoxInTheBasket,"Pick up the alphabet soup and the cream cheese box, and put them in the basket."
Long,L10L2PutBothTheAlphabetSoupAndTheTomatoSauceInTheBasket,"Pick up the alphabet soup and the tomato sauce, and put them in the basket."
Long,L10L2PutBothTheCreamCheeseBoxAndTheButterInTheBasket,"Pick up the cream cheese box and the butter, and put them in the basket."
Long,L10L5PutWhiteMugOnLeftPlateAndPutYellowAndWhiteMugOnRightPlate,Put the white mug on the left plate and put the yellow and white mug on the right plate.
Long,L10L6PutWhiteMugOnPlateAndPutChocolatePuddingToRightPlate,"Pick up the white mug and put it on the plate, and put the chocolate pudding to the right of the plate."
Long,L10S1PickUpTheBookAndPlaceItInTheBackCompartmentOfTheCaddy,Pick up the book and place it in the right compartment of the caddy.
LIBERO-90,L90K10CloseTheTopDrawerOfTheCabinet,Close the top drawer of the cabinet.
LIBERO-90,L90K10CloseTheTopDrawerOfTheCabinetAndPutTheBlackBowlOnTopOfIt,Close the top drawer of the cabinet and put the black bowl on top of it.
LIBERO-90,L90K10PutTheBlackBowlInTheTopDrawerOfTheCabinet,Put the black bowl in the top drawer of the cabinet.
LIBERO-90,L90K10PutTheButterAtTheBackInTheTopDrawerOfTheCabinetAndCloseIt,put the butter at the back in the top drawer of the cabinet and close it.
LIBERO-90,L90K10PutTheButterAtTheFrontInTheTopDrawerOfTheCabinetAndCloseIt,Put the butter at the front in the top drawer of the cabinet and close it.
LIBERO-90,L90K10PutTheChocolatePuddingInTheTopDrawerOfTheCabinetAndCloseIt,Put the chocolate pudding in the top drawer of the cabinet and close it.
LIBERO-90,L90K1OpenTheBottomDrawerOfTheCabinet,Open the bottom drawer of the cabinet.
LIBERO-90,L90K1OpenTheTopDrawerOfTheCabinet,open the top drawer of the cabinet.
LIBERO-90,L90K1OpenTheTopDrawerOfTheCabinetAndPutTheBowlInIt,Open the top drawer of the cabinet and put the bowl in it.
LIBERO-90,L90K1PutTheBlackBowlOnThePlate,put the black bowl on the plate.
LIBERO-90,L90K1PutTheBlackBowlOnTopOfTheCabinet,Put the black bowl on top of the cabinet.
LIBERO-90,L90K2OpenTheTopDrawerOfTheCabinet,Open the top drawer of the cabinet.
LIBERO-90,L90K2PutTheBlackBowlAtTheBackOnThePlate,Put the black bowl at the front on the plate.
LIBERO-90,L90K2PutTheBlackBowlAtTheFrontOnThePlate,Pick up the black bowl and put it in the front on the plate.
LIBERO-90,L90K2PutTheMiddleBlackBowlOnThePlate,Put the black bowl in the middle on the plate.
LIBERO-90,L90K2PutTheMiddleBlackBowlOnTopOfTheCabinet,put the black bowl on the plate.
LIBERO-90,L90K2StackTheBlackBowlAtTheFrontOnTheBlackBowlInTheMiddle,stack the black bowl at the front on the black bowl in the middle.
LIBERO-90,L90K2StackTheMiddleBlackBowlOnTheBackBlackBowl,Stack the black bowl in the middle on the black bowl at the back.
LIBERO-90,L90K3PutTheFryingPanOnTheStove,Put the frying pan on the stove.
LIBERO-90,L90K3PutTheMokaPotOnTheStove,Put the moka pot on the stove.
LIBERO-90,L90K3TurnOnTheStove,Turn on the stove.
LIBERO-90,L90K3TurnOnTheStoveAndPutTheFryingPanOnIt,Turn on the stove and put the frying pan on it.
LIBERO-90,L90K4CloseTheBottomDrawerOfTheCabinet,Close the bottom drawer of the cabinet.
LIBERO-90,L90K4CloseTheBottomDrawerOfTheCabinetAndOpenTheTopDrawer,Close the bottom drawer of the cabinet and open the top drawer.
LIBERO-90,L90K4PutTheBlackBowlInTheBottomDrawerOfTheCabinet,Put the black bowl in the bottom drawer of the cabinet.
LIBERO-90,L90K4PutTheBlackBowlOnTopOfTheCabinet,Put the black bowl on top of the cabinet.
LIBERO-90,L90K4PutTheWineBottleInTheBottomDrawerOfTheCabinet,Put the wine bottle in the bottom drawer of the cabinet.
LIBERO-90,L90K4PutTheWineBottleOnTheWineRack,put the wine bottle on the wine rack.
LIBERO-90,L90K5CloseTheTopDrawerOfTheCabinet,Close the top drawer of the cabinet.
LIBERO-90,L90K5PutTheBlackBowlInTheTopDrawerOfTheCabinet,Put the black bowl in the top drawer of the cabinet.
LIBERO-90,L90K5PutTheBlackBowlOnThePlate,Put the black bowl on the plate.
LIBERO-90,L90K5PutTheBlackBowlOnTopOfTheCabinet,Put the black bowl on top of the cabinet.
LIBERO-90,L90K5PutTheKetchupInTheTopDrawerOfTheCabinet,Put the ketchup in the top drawer of the cabinet.
LIBERO-90,L90K6CloseTheMicrowave,Close the microwave.
LIBERO-90,L90K6PutTheYellowAndWhiteMugToTheFrontOfTheWhiteMug,Put the yellow and white mug to the front of the white mug.
LIBERO-90,L90K7OpenTheMicrowave,Open the microwave.
LIBERO-90,L90K7PutTheWhiteBowlOnThePlate,Pick up the white bowl and put it on the plate.
LIBERO-90,L90K7PutTheWhiteBowlToTheRightOfThePlate,Put the white bowl to the right of the plate.
LIBERO-90,L90K8PutTheRightMokaPotOnTheStove,Put the right moka pot on the stove.
LIBERO-90,L90K8TurnOffTheStove,Turn off the stove.
LIBERO-90,L90K9PutTheFryingPanOnTheCabinetShelf,Put the frying pan on the cabinet shelf.
LIBERO-90,L90K9PutTheFryingPanOnTopOfTheCabinet,put the frying pan on top of the cabinet.
LIBERO-90,L90K9PutTheFryingPanUnderTheCabinetShelf,Put the frying pan under the cabinet shelf.
LIBERO-90,L90K9PutTheWhiteBowlOnTopOfTheCabinet,Put the white bowl on top of the cabinet
LIBERO-90,L90K9TurnOnTheStove,Turn on the stove.
LIBERO-90,L90K9TurnOnTheStoveAndPutTheFryingPanOnIt,put the frying pan on top of the cabinet.
LIBERO-90,L90L1PickUpTheAlphabetSoupAndPutItInTheBasket,put the black bowl on the plate.
LIBERO-90,L90L1PickUpTheCreamCheeseBoxAndPutItInTheBasket,"Pick up the cream cheese box, and put it in the basket."
LIBERO-90,L90L1PickUpTheKetchupAndPutItInTheBasket,"Pick up the ketchup, and put it in the basket."
LIBERO-90,L90L1PickUpTheTomatoSauceAndPutItInTheBasket,"Pick up the tomato sauce, and put it in the basket."
