model,Camera,Robot,Language,Light,Background,Noise,Layout,Total
OpenVLA,0.8,3.5,23.0,8.1,34.8,15.2,28.5,15.6
OpenVLA-OFT,56.4,31.9,79.5,88.7,93.3,75.8,74.2,69.6
OpenVLA-OFT_w,10.4,38.7,70.5,76.8,93.6,49.9,69.9,55.8
NORA,2.2,37.0,65.1,45.7,58.6,12.8,62.1,39.0
WorldVLA,0.1,27.9,41.6,43.7,17.1,10.9,38.0,25.0
UniVLA,1.8,46.2,69.6,69.0,81.0,21.2,31.9,43.9
π0,13.8,6.0,58.8,85.0,81.4,79.0,68.9,53.6
π0-Fast,65.1,21.6,61.0,73.2,73.2,74.4,68.8,61.6
RIPT-VLA,55.2,31.2,77.6,88.4,91.6,73.5,74.2,68.4
OpenVLA-OFT_m,55.6,21.7,81.0,92.7,91.0,78.6,68.7,67.9
OpenVLA-OFT+,92.8,30.3,85.8,94.9,93.9,89.3,77.6,79.6
