skill_family,appliance,task_name,task_class,description,default_instruction,base_class,source_file
Set temperature,toaster oven,Adjust Toaster Oven Temperature,AdjustToasterOvenTemperature,Class encapsulating atomic task for adjusting the toaster oven temperature.,Turn on the toaster oven by setting the timer.,Kitchen,atomic/kitchen_toaster_oven.py
Set temperature,sink,Adjust Water Temperature,AdjustWaterTemperature,Change Water Temperature: composite task for Washing Dishes activity. Simulates the process of adjusting the water temperature in the sink. Steps: 1) Determine the current water temperature using the sink handle state. 2) Adjust the sink handle to the opposite temperature state. 3) Make sure the water is still running.,Turn the sink spout to the {self.behavior}.,Kitchen,atomic/kitchen_sink.py
Other,pick place,Cheesy Bread,CheesyBread,Simulates the task of making cheesy bread. Steps: Start with a slice of bread already on a plate and a wedge of cheese on the counter. Pick up the wedge of cheese and place it on the slice of bread to prepare a simple cheese on bread dish.,Pick the {obj_lang} from the counter and place it in the cabinet.,Kitchen,atomic/kitchen_pick_place.py
Open/close,blender,Close Blender Lid,CloseBlenderLid,Class encapsulating the atomic close blender lid task.,Open the blender by taking off the lid and placing it on the counter.,Kitchen,atomic/kitchen_blender.py
Open/close,doors,Close Cabinet,CloseCabinet,Class encapsulating the atomic manipulate door tasks.,Open the toaster oven door.,CloseDoor,atomic/kitchen_doors.py
Open/close,doors,Close Dishwasher,CloseDishwasher,Class encapsulating the atomic manipulate door tasks.,Open the toaster oven door.,CloseDropDownDoor,atomic/kitchen_doors.py
Open/close,doors,Close Door,CloseDoor,Class encapsulating the atomic manipulate door tasks.,Open the toaster oven door.,ManipulateDoor,atomic/kitchen_doors.py
Open/close,drawer,Close Drawer,CloseDrawer,Class encapsulating the atomic close drawer task.,Fully slide the top dishwasher rack {direction}.,ManipulateDrawer,atomic/kitchen_drawer.py
Open/close,electric kettle,Close Electric Kettle Lid,CloseElectricKettleLid,Class encapsulating the atomic close electric kettle lid task.,Press down the lever to turn on the electric kettle.,Kitchen,atomic/kitchen_electric_kettle.py
Open/close,doors,Close Fridge,CloseFridge,Class encapsulating the atomic manipulate door tasks.,Open the toaster oven door.,CloseDoor,atomic/kitchen_doors.py
Open/close,drawer,Close Fridge Drawer,CloseFridgeDrawer,Class encapsulating the atomic close fridge drawer task to push the fridge drawer in.,Fully slide the top dishwasher rack {direction}.,Kitchen,atomic/kitchen_drawer.py
Open/close,doors,Close Microwave,CloseMicrowave,Class encapsulating the atomic manipulate door tasks.,Open the toaster oven door.,CloseDoor,atomic/kitchen_doors.py
Open/close,doors,Close Oven,CloseOven,Class encapsulating the atomic manipulate door tasks.,Open the toaster oven door.,CloseDropDownDoor,atomic/kitchen_doors.py
Open/close,stand mixer,Close Stand Mixer Head,CloseStandMixerHead,Class encapsulating the atomic stand mixer head tasks.,Open the stand mixer head.,Kitchen,atomic/kitchen_stand_mixer.py
Open/close,doors,Close Toaster Oven Door,CloseToasterOvenDoor,Class encapsulating the atomic toaster oven door tasks.,Open the toaster oven door.,Kitchen,atomic/kitchen_doors.py
Other,coffee,Coffee Serve Mug,CoffeeServeMug,Class encapsulating the coffee serve task. Pick the mug from under the coffee machine dispenser and place it on the counter.,Pick the {obj_lang} from the counter and place it under the coffee machine dispenser.,PickPlaceCoffee,atomic/kitchen_coffee.py
Other,coffee,Coffee Setup Mug,CoffeeSetupMug,Class encapsulating the coffee setup task. Pick the mug from the counter and place it under the coffee machine dispenser.,Pick the {obj_lang} from the counter and place it under the coffee machine dispenser.,PickPlaceCoffee,atomic/kitchen_coffee.py
Adjust setting,stove,Lower Heat,LowerHeat,Simulates the task of lowering the heat of a kettle on the stove. Steps: Lower the heat of the burner.,Lower the heat of the kettle.,Kitchen,atomic/kitchen_stove.py
