task,title,desc,schema,pref,cap,arms,nobj,seen,unseen,total,doc
adjust_bottle,Adjust Bottle,Pick up the bottle on the table headup with the correct arm,"{A} notifies the bottle, {a} notifies the arm to manipulate the bottle",num of words should not exceed 15,15,a,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/adjust_bottle.html
beat_block_hammer,Beat Block Hammer,"there is a hammer and a block on the table, use the arm to <grab the hammer> and <beat the block>","{A} notifies the hammer, {a} notifies the arm to grab the hammer",num of words should not exceed 10,10,a,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/beat_block_hammer.html
blocks_ranking_rgb,Blocks Ranking Rgb,"<Place> the red block, green block, and blue block <in the order> of red, green, and blue from left to right, <placing in a row>.","{A} notifies the red block, {B} notifies the green block, {C} notifies the blue block, {a} notifies the arm to grab red block, {b} notifies the arm to grab green block, {c} notifies the arm to grab blue block",num of words should not exceed 30,30,a|b|c,3,50,10,60,https://robotwin-platform.github.io/doc/tasks/blocks_ranking_rgb.html
blocks_ranking_size,Blocks Ranking Size,"there are three blocks on the table, the color of the blocks is random, move the blocks to the center of the table, and arrange them from largest to smallest, from left to right","{A} notifies the large size block, {B} notifies the medium size block, {C} notifies the small size block, {a} notifies the arm to grab large size block, {b} notifies the arm to grab medium size block, {c} notifies the arm to grab small size block",num of words should not exceed 15. Degree of detail avg 8,15,a|b|c,3,50,10,60,https://robotwin-platform.github.io/doc/tasks/blocks_ranking_size.html
click_alarmclock,Click Alarmclock,click the alarm clock's center of the top side button on the table,"{A} notifies the alarm clock, {a} notifies the arm to click the alarm clock",num of words should not exceed 10,10,a,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/click_alarmclock.html
click_bell,Click Bell,click the <bell's top center> on the table,"{A} notifies the bell, {a} notifies the arm to click the bell",num of words should not exceed 10,10,a,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/click_bell.html
dump_bin_bigbin,Dump Bin Bigbin,Grab the small bin and pour the balls into the big bin,{A} notifies the small bin,num of words should not exceed 10. Degree of detail avg 5,10,,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/dump_bin_bigbin.html
grab_roller,Grab Roller,use both arms to grab the roller on the table,{A} notifies the roller. 'arm' use literal here,num of words should not exceed 10.,10,,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/grab_roller.html
handover_block,Handover Block,"use the left arm to grasp the red block on the table, handover it to the right arm and place it on the blue pad",,num of words should not exceed 15,15,,0,50,10,60,https://robotwin-platform.github.io/doc/tasks/handover_block.html
handover_mic,Handover Mic,Use one arm to grasp the microphone on the table and handover it to the other arm,"{A} notifies the microphone, {a} notifies the arm to grab the microphone, {b} notifies the arm to hand over to",num of words should not exceed 15,15,a|b,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/handover_mic.html
hanging_mug,Hanging Mug,"Use left arm to pick the mug on the table, rotate the mug and put the mug down in the middle of the table, use the right arm to pick the mug and hang it onto the rack.","{A} notifies the mug, {B} notifies the rack",num of words should not exceed 15,15,,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/hanging_mug.html
lift_pot,Lift Pot,use BOTH!!! arms to lift the pot,{A} notifies the pot. Arm comes as literal here.,num of words should not exceed 6!!!!!. Degree of detail avg is 2.Avoid using adjectives!!,6,,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/lift_pot.html
move_can_pot,Move Can Pot,"there is a can and a pot on the table, use one arm to <pick up the can> and <move it to beside the pot>","{A} notifies the pot, {B} notifies the can, {a} notifies the arm to grab the can",num of words should not exceed 10,10,a,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/move_can_pot.html
move_pillbottle_pad,Move Pillbottle Pad,Use one arm to pick the pillbottle and place it onto the pad.,"{A} notifies the pillbottle, {a} notifies the arm to move the pillbottle",num of words should not exceed 10,10,a,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/move_pillbottle_pad.html
move_playingcard_away,Move Playingcard Away,"use the arm to <pick up the playing card> and <move it away from the table>.For example, if the playing card is on the outward side of the table, you should move it further outward side of the table.","{A} notifies the playing card, {a} notifies the arm to grab the playing card",num of words should not exceed 10,10,a,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/move_playingcard_away.html
move_stapler_pad,Move Stapler Pad,use appropriate arm to move the stapler to a colored mat,"{A} notifies the stapler, {B} notifies the color of the mat(YOU SHOULD SAY {B} mat, or {B} colored mat), {a} notifies the arm to grab the stapler",num of words should not exceed 10,10,a,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/move_stapler_pad.html
open_laptop,Open Laptop,use one arm to open the laptop,{A} notifies the laptop. {a} notifies the arm used to open the laptop.,num of words should not exceed 6!!!!!. Degree of detail avg is 2.,6,a,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/open_laptop.html
open_microwave,Open Microwave,Use one arm to open the microwave.,"{A} notifies the microwave, {a} notifies the arm to open the microwave",num of words should not exceed 15,15,a,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/open_microwave.html
pick_diverse_bottles,Pick Diverse Bottles,"pick up one bottle with one arm, and pick up another bottle with the other arm","{A} notifies the left bottle to be catched,{B} notifies the right bottle to be catched. arm comes as a literal here",num of words should not exceed 10. Degree of detail avg 5,10,,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/pick_diverse_bottles.html
pick_dual_bottles,Pick Dual Bottles,"pick up one bottle with one arm, and pick up another bottle with the other arm","{A} notifies one bottle to be catched,{B} notifies the other bottle to be catched. arm comes as a literal here",num of words should not exceed 10.Degree of detail avg 5,10,,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/pick_dual_bottles.html
place_a2b_left,Place A2B Left,use appropriate arm to place object A on the left of object B,"{A} notifies the object A, {B} notifies the object B, {a} notifies the arm to grab the object A",num of words should not exceed 10.STRESS THE 'left'.,10,a,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_a2b_left.html
place_a2b_right,Place A2B Right,use appropriate arm to place object A on the right of object B,"{A} notifies the object A, {B} notifies the object B, {a} notifies the arm to grab the object A",num of words should not exceed 10.STRESS THE 'right'.,10,a,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_a2b_right.html
place_bread_basket,Place Bread Basket,"if there is one bread on the table, use one arm to grab the bread and put it in the basket, if there are two breads on the table, use two arms to simultaneously!!! grab up two breads and put them in the basket","{A} notifies the basket, {B} notifies the first bread(or the only bread if there is only one bread), {C} notifies the second bread(if there are two breads), {a} notifies the arm to grab the bread(may be left, right, or dual)","num of words should not exceed 10. Degree of detail avg is six. NOTE!! 50% of the instructions are about one bread scenario, 50% of the instructions are about two breads scenario",10,a,3,50,19,69,https://robotwin-platform.github.io/doc/tasks/place_bread_basket.html
place_bread_skillet,Place Bread Skillet,"if there is one bread on the table, use one arm to grab the bread and put it into the skillet","{A} notifies the skillet, {B} notifies the bread, {a} notifies the arm to grab the bread",num of words should not exceed 10. Degree of detail avg is 6,10,a,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_bread_skillet.html
place_burger_fries,Place Burger Fries,Use dual arm to pick the hamburg and frenchfries and put them onto the tray.,"{A} notifies the hamburg, {B} notifies the tray, {C} notifies the frenchfries",num of words should not exceed 15,15,,3,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_burger_fries.html
place_can_basket,Place Can Basket,"use one arm to pick up the can, put it into the basket, and use another arm to lift the basket","{A} notifies the can, {B} notifies the basket, {a} notifies the arm to pick up the can, the arm to pick up the basket use literal 'the other arm' or 'another arm'","num of words should not exceed 15. Degree of detail avg 8.If {a} is mentioned in one description, 'the other arm' or 'another arm' must be mentioned in another description.Or otherwise both arm should not be mentioned. BUT {A} and {B} should always be mentioned in each description",15,a,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_can_basket.html
place_cans_plasticbox,Place Cans Plasticbox,Use dual arm to pick and place cans into plasticbox,"{A} notifies the left can, {B} notifies the plasticbox, {C} notifies right can",num of words should not exceed 15,15,,3,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_cans_plasticbox.html
place_container_plate,Place Container Plate,place the container onto the plate,"{A} notifies the plate to be placed onto, {B} notifies the arm to manipulate the container, {a} notifies the arm to catch the container",num of words should not exceed 10. Degree of detail avg 5,10,a,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_container_plate.html
place_dual_shoes,Place Dual Shoes,"use both arms to pick up the two shoes on the table and put them in the shoebox, with the shoe tip pointing to the left",{A} notifies one shoe(use 'two {A}' or 'a pair of {}').{B} nofity the shoebox,"num of words should not exceed 10.IN EACH INSTRUCTION, YOU MUST STRESS THE SHOE TIP POINTING TO THE LEFT",10,,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_dual_shoes.html
place_empty_cup,Place Empty Cup,use an arm to place the empty cup on the coaster,"{A} notifies the empty cup, {B} notifies the coaster",num of words should not exceed 10,10,,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_empty_cup.html
place_fan,Place Fan,"grab the fan and place it on a colored mat, <make sure the fan is facing the robot!(THIS MUST BE REFERRED TO>","{A} notifies the fan,{B} notifies the color of the mat(YOU SHOULD SAY {B} mat, or {B} colored mat), {a} notifies the arm to grab the fan",num of words should not exceed 15,15,a,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_fan.html
place_mouse_pad,Place Mouse Pad,grab the mouse and place it on a colored mat,"{A} notifies the mouse, {B} notifies the color of the mat(YOU SHOULD SAY {B} mat, or {B} colored mat), {a} notifies the arm to grab the mouse",num of words should not exceed 15,15,a,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_mouse_pad.html
place_object_basket,Place Object Basket,"use one arm to grab the target object and put it in the basket, then use the other arm to grab the basket, and finally move the basket slightly away","{A} notifies the target object, {B} notifies the basket, {a} notifies the arm to grab the target object. {b} notifies the arm to grab the basket",num of words should not exceed 10. Degree of detail avg is six.,10,a|b,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_object_basket.html
place_object_scale,Place Object Scale,use one arm to grab the object and put it on the scale,"{A} notifies the scale, {B} notifies the object, {a} notifies the arm to grab the object",num of words should not exceed 10. Degree of detail avg is six.,10,a,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_object_scale.html
place_object_stand,Place Object Stand,use appropriate arm to place the object on the stand,"{A} notifies the object, {B} notifies the stand, {a} notifies the arm to grab the object",num of words should not exceed 10,10,a,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_object_stand.html
place_phone_stand,Place Phone Stand,pick up the phone and put it on the phone stand,"{A} notifies the phone, {B} notifies the phonestand. Arm use literal 'arm'",num of words should not exceed 5,5,,2,10,2,12,https://robotwin-platform.github.io/doc/tasks/place_phone_stand.html
place_shoe,Place Shoe,use one arm to grab the shoe from the table and place it on the mat,"{A} notifies the shoe, {a} notifies the arm to manipulate the shoe",num of words should not exceed 15,15,a,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/place_shoe.html
press_stapler,Press Stapler,Use one arm to press the stapler.,"{A} notifies the stapler, {a} notifies the arm to press the stapler",num of words should not exceed 15,15,a,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/press_stapler.html
put_bottles_dustbin,Put Bottles Dustbin,use arms to grab the bottles and put them into the dustbin to the left of the table,"{A} notifies the first bottle, {B} notifies the second bottle, {C} notifies the third bottle, {D} notifies the dustbin",num of words should not exceed 20. Degree of detail avg is 6.,20,,4,50,10,60,https://robotwin-platform.github.io/doc/tasks/put_bottles_dustbin.html
put_object_cabinet,Put Object Cabinet,"use {a} to open the cabinet's drawer, and use another arm to put the object on the table to the drawer.","{A} notifies the object, {B} notifies the cabinet (use 'the drawer of {B}' or '{B}'s drawer'), {a} notifies the arm to open the drawer. Another arm to put the object into the drawer use literal 'the other arm'","num of words should not exceed 20. Degree of detail avg is 8.If {a} is mentioned in one description, 'the other arm' or 'another arm' must be mentioned in another description.Or otherwise both arm should not be mentioned. BUT {A} and {B} should always be mentioned in each description",20,a,2,50,10,60,https://robotwin-platform.github.io/doc/tasks/put_object_cabinet.html
rotate_qrcode,Rotate Qrcode,"Use arm to catch the qrcode board on the table, pick it up and rotate to let the qrcode face towards you",{A} notifies the qrcode board. {a} notifies the arm to pick the qrcode board,num of words should not exceed 15. Degree of detail avg is 6.,15,a,1,50,10,60,https://robotwin-platform.github.io/doc/tasks/rotate_qrcode.html
